V160001,pid3,party,biden,ryan,merkel,putin,roberts,talk,meeting,wear,work,campaigndon,partydon,attend,petition,post,contact,vote16,feeldem,feelrep,feellib,feelcons,pid7,ideo7,ideo3
300073,(2) 2. Republican,Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,50,50,60,(6) 6. Not very strong Republican,(04) 4. Moderate/ middle of the road,(2) 2. Conservative
300082,(1) 1. Democrat,Democrat,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,60,40,50,50,(2) 2. Not very strong Democrat,(02) 2. Liberal,
300085,(3) 3. Independent,Independent,,,,,,,,,,,,,,,,,60,30,,,(3) 3. Independent-Democrat,,
300092,(2) 2. Republican,Republican,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,15,85,50,40,(7) 7. Strong Republican,(03) 3. Slightly liberal,
300093,(3) 3. Independent,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,85,70,60,(3) 3. Independent-Democrat,(04) 4. Moderate/ middle of the road,(1) 1. Liberal
300094,(1) 1. Democrat,Democrat,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,85,30,85,40,(2) 2. Not very strong Democrat,(03) 3. Slightly liberal,
300098,(3) 3. Independent,Independent,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,80,15,85,(5) 5. Independent-Republican,(06) 6. Conservative,
300099,(2) 2. Republican,Republican,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,70,30,60,(7) 7. Strong Republican,(05) 5. Slightly conservative,
300100,(1) 1. Democrat,Democrat,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,100,0,100,85,(1) 1. Strong Democrat,(02) 2. Liberal,
300103,(2) 2. Republican,Republican,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,100,0,100,(7) 7. Strong Republican,(07) 7. Extremely conservative,
300106,(3) 3. Independent,Independent,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,60,5,60,(5) 5. Independent-Republican,(05) 5. Slightly conservative,
300107,(1) 1. Democrat,Democrat,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,60,30,70,40,(2) 2. Not very strong Democrat,(02) 2. Liberal,
300109,(3) 3. Independent,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,60,60,50,85,(4) 4. Independent,(04) 4. Moderate/ middle of the road,(2) 2. Conservative
300111,(3) 3. Independent,Independent,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,30,85,40,40,(5) 5. Independent-Republican,(99) 99. Haven't thought much about this,(3) 3. Moderate
300113,(1) 1. Democrat,Democrat,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,70,40,70,30,(1) 1. Strong Democrat,(02) 2. Liberal,
300116,(1) 1. Democrat,Democrat,,,,,,,,,,,,,,,,0,85,60,,,(2) 2. Not very strong Democrat,,
300119,(3) 3. Independent,Independent,,,,,,,,,,,,,,,,,85,15,,,(3) 3. Independent-Democrat,,
300121,(1) 1. Democrat,Democrat,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,85,40,75,50,(1) 1. Strong Democrat,(03) 3. Slightly liberal,
300123,(2) 2. Republican,Republican,,,,,,,,,,,,,,,,,30,40,,,(6) 6. Not very strong Republican,,
300124,(2) 2. Republican,Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,70,40,70,(6) 6. Not very strong Republican,(06) 6. Conservative,
300131,(1) 1. Democrat,Democrat,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,70,15,70,30,(1) 1. Strong Democrat,(02) 2. Liberal,
300135,(3) 3. Independent,Independent,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,70,60,70,70,(3) 3. Independent-Democrat,(02) 2. Liberal,
300136,(5) 5. Other party SPECIFY,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,60,15,(5) 5. Independent-Republican,(05) 5. Slightly conservative,
300137,(1) 1. Democrat,Democrat,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,85,15,50,50,(1) 1. Strong Democrat,(04) 4. Moderate/ middle of the road,(2) 2. Conservative
300140,(1) 1. Democrat,Democrat,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,70,15,70,60,(1) 1. Strong Democrat,(02) 2. Liberal,
300142,(3) 3. Independent,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30,70,50,60,(5) 5. Independent-Republican,(04) 4. Moderate/ middle of the road,(2) 2. Conservative
300143,(1) 1. Democrat,Democrat,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,85,30,85,70,(1) 1. Strong Democrat,(04) 4. Moderate/ middle of the road,(1) 1. Liberal
300144,(1) 1. Democrat,Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,40,50,50,(1) 1. Strong Democrat,(99) 99. Haven't thought much about this,(1) 1. Liberal
300146,(3) 3. Independent,Independent,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,(5) 5. Independent-Republican,(99) 99. Haven't thought much about this,(3) 3. Moderate
300148,(2) 2. Republican,Republican,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,50,50,70,(6) 6. Not very strong Republican,(04) 4. Moderate/ middle of the road,(2) 2. Conservative
300150,(1) 1. Democrat,Democrat,,,,,,,,,,,,,,,,,40,40,,,(1) 1. Strong Democrat,,
300151,(3) 3. Independent,Independent,,,,,,,,,,,,,,,,,70,40,,,(3) 3. Independent-Democrat,,
300152,(1) 1. Democrat,Democrat,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,85,30,85,40,(1) 1. Strong Democrat,(02) 2. Liberal,
300153,(3) 3. Independent,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,40,50,50,(5) 5. Independent-Republican,(03) 3. Slightly liberal,
300154,(3) 3. Independent,Independent,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,60,40,50,85,(5) 5. Independent-Republican,(99) 99. Haven't thought much about this,(2) 2. Conservative
300155,(1) 1. Democrat,Democrat,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,70,30,80,60,(1) 1. Strong Democrat,(02) 2. Liberal,
300161,(1) 1. Democrat,Democrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,50,50,50,(2) 2. Not very strong Democrat,(99) 99. Haven't thought much about this,
300165,(1) 1. Democrat,Democrat,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,85,15,70,60,(1) 1. Strong Democrat,(99) 99. Haven't thought much about this,(3) 3. Moderate
300168,(1) 1. Democrat,Democrat,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,70,15,40,30,(1) 1. Strong Democrat,(99) 99. Haven't thought much about this,(3) 3. Moderate
300169,(3) 3. Independent,Independent,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,70,40,100,30,(3) 3. Independent-Democrat,(02) 2. Liberal,
300170,(1) 1. Democrat,Democrat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85,30,85,85,(2) 2. Not very strong Democrat,(99) 99. Haven't thought much about this,(1) 1. Liberal
300171,(2) 2. Republican,Republican,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,50,85,70,85,(6) 6. Not very strong Republican,(04) 4. Moderate/ middle of the road,(2) 2. Conservative
300172,(3) 3. Independent,Independent,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30,60,30,85,(5) 5. Independent-Republican,(06) 6. Conservative,
300175,(3) 3. Independent,Independent,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,30,15,60,85,(3) 3. Independent-Democrat,(03) 3. Slightly liberal,
300176,(3) 3. Independent,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,50,50,50,50,(5) 5. Independent-Republican,(99) 99. Haven't thought much about this,(2) 2. Conservative
300177,(1) 1. Democrat,Democrat,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,,(2) 2. Not very strong Democrat,(04) 4. Moderate/ middle of the road,(3) 3. Moderate
300179,(3) 3. Independent,Independent,,,,,,,,,,,,,,,,,30,60,,,(5) 5. Independent-Republican,,
300180,,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75,75,,85,,(06) 6. Conservative,
300181,(1) 1. Democrat,Democrat,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,70,50,60,60,(1) 1. Strong Democrat,(99) 99. Haven't thought much about this,(1) 1. Liberal
300182,(1) 1. Democrat,Democrat,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85,0,,60,(1) 1. Strong Democrat,(06) 6. Conservative,
300184,(3) 3. Independent,Independent,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,60,30,(3) 3. Independent-Democrat,(04) 4. Moderate/ middle of the road,(1) 1. Liberal
300185,(0) 0. No preference (FTF ONLY),No Party,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,75,10,60,40,(3) 3. Independent-Democrat,(03) 3. Slightly liberal,
300186,(3) 3. Independent,Independent,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,60,30,70,50,(3) 3. Independent-Democrat,(02) 2. Liberal,
300187,(3) 3. Independent,Independent,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,15,15,60,60,(5) 5. Independent-Republican,(99) 99. Haven't thought much about this,(2) 2. Conservative
300188,(2) 2. Republican,Republican,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,50,100,40,70,(7) 7. Strong Republican,(05) 5. Slightly conservative,
300195,(2) 2. Republican,Republican,,,,,,,,,,,,,,,,,0,40,,,(7) 7. Strong Republican,,
300196,(2) 2. Republican,Republican,,,,,,,,,,,,,,,,,30,60,,,(7) 7. Strong Republican,,
300198,(1) 1. Democrat,Democrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,0,85,0,(2) 2. Not very strong Democrat,(02) 2. Liberal,
300200,(1) 1. Democrat,Democrat,,,,,,,,,,,,,,,,,70,60,,,(2) 2. Not very strong Democrat,,
300204,(1) 1. Democrat,Democrat,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,95,10,100,40,(1) 1. Strong Democrat,(02) 2. Liberal,
300207,(3) 3. Independent,Independent,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,40,40,40,50,(5) 5. Independent-Republican,(05) 5. Slightly conservative,
300209,(2) 2. Republican,Republican,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,60,60,60,(6) 6. Not very strong Republican,(05) 5. Slightly conservative,
300210,(2) 2. Republican,Republican,,,,,,,,,,,,,,,,,0,100,,,(7) 7. Strong Republican,,
300212,(1) 1. Democrat,Democrat,,,,,,,,,,,,,,,,,70,50,,,(1) 1. Strong Democrat,,
300215,(0) 0. No preference (FTF ONLY),No Party,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,40,55,50,(4) 4. Independent,(04) 4. Moderate/ middle of the road,(2) 2. Conservative
300217,(2) 2. Republican,Republican,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,70,40,85,(6) 6. Not very strong Republican,(06) 6. Conservative,
300222,(1) 1. Democrat,Democrat,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,85,15,70,30,(1) 1. Strong Democrat,(02) 2. Liberal,
300224,(1) 1. Democrat,Democrat,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,85,0,70,15,(1) 1. Strong Democrat,(04) 4. Moderate/ middle of the road,(1) 1. Liberal
300227,(3) 3. Independent,Independent,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,50,70,70,(4) 4. Independent,(04) 4. Moderate/ middle of the road,(2) 2. Conservative
300228,(1) 1. Democrat,Democrat,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,85,30,90,40,(1) 1. Strong Democrat,(02) 2. Liberal,
300230,(2) 2. Republican,Republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,50,0,30,(7) 7. Strong Republican,(02) 2. Liberal,
300232,(1) 1. Democrat,Democrat,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,70,50,50,50,(1) 1. Strong Democrat,(99) 99. Haven't thought much about this,
300234,(3) 3. Independent,Independent,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,40,30,70,60,(3) 3. Independent-Democrat,(03) 3. Slightly liberal,
300235,(2) 2. Republican,Republican,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70,70,70,60,(6) 6. Not very strong Republican,(04) 4. Moderate/ middle of the road,(1) 1. Liberal
300237,(3) 3. Independent,Independent,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,100,0,60,40,(3) 3. Independent-Democrat,(04) 4. Moderate/ middle of the road,(3) 3. Moderate
300238,(3) 3. Independent,Independent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,70,70,30,60,(3) 3. Independent-Democrat,(05) 5. Slightly conservative,
300240,(3) 3. Independent,Independent,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,40,60,50,50,(5) 5. Independent-Republican,(99) 99. Haven't thought much about this,(3) 3. Moderate
300242,(3) 3. Independent,Independent,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15,85,70,60,(5) 5. Independent-Republican,(04) 4. Moderate/ middle of the road,(2) 2. Conservative
300244,(3) 3. Independent,Independent,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,40,60,30,60,(5) 5. Independent-Republican,(05) 5. Slightly conservative,
300245,(3) 3. Independent,Independent,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,50,50,50,50,(3) 3. Independent-Democrat,(99) 99. Haven't thought much about this,(2) 2. Conservative
300246,(1) 1. Democrat,Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,40,70,50,(2) 2. Not very strong Democrat,(99) 99. Haven't thought much about this,(3) 3. Moderate
300248,(5) 5. Other party SPECIFY,Other,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,60,40,60,(4) 4. Independent,(05) 5. Slightly conservative,
300250,(3) 3. Independent,Independent,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30,60,15,60,(5) 5. Independent-Republican,(05) 5. Slightly conservative,
300252,(1) 1. Democrat,Democrat,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,85,50,70,60,(1) 1. Strong Democrat,(99) 99. Haven't thought much about this,(1) 1. Liberal
300254,(1) 1. Democrat,Democrat,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,100,0,50,50,(1) 1. Strong Democrat,(99) 99. Haven't thought much about this,(2) 2. Conservative
300255,(2) 2. Republican,Republican,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,40,60,0,50,(6) 6. Not very strong Republican,(99) 99. Haven't thought much about this,(2) 2. Conservative
300256,(0) 0. No preference (FTF ONLY),No Party,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,50,50,60,50,(5) 5. Independent-Republican,(03) 3. Slightly liberal,
300259,(2) 2. Republican,Republican,,,,,,,,,,,,,,,,,2,85,,,(7) 7. Strong Republican,,
300261,(3) 3. Independent,Independent,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,40,40,40,(5) 5. Independent-Republican,(04) 4. Moderate/ middle of the road,(2) 2. Conservative
300264,(0) 0. No preference (FTF ONLY),No Party,,,,,,,,,,,,,,,,,50,50,,,(5) 5. Independent-Republican,,
300267,(2) 2. Republican,Republican,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,0,70,0,85,(6) 6. Not very strong Republican,(06) 6. Conservative,
300269,(2) 2. Republican,Republican,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60,60,70,70,(6) 6. Not very strong Republican,(03) 3. Slightly liberal,
300270,(3) 3. Independent,Independent,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,60,30,100,40,(3) 3. Independent-Democrat,(03) 3. Slightly liberal,
300273,(2) 2. Republican,Republican,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,40,60,50,50,(6) 6. Not very strong Republican,(05) 5. Slightly conservative,
300276,(3) 3. Independent,Independent,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,50,60,50,50,(5) 5. Independent-Republican,(04) 4. Moderate/ middle of the road,(2) 2. Conservative
300278,(3) 3. Independent,Independent,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,30,70,15,70,(5) 5. Independent-Republican,(05) 5. Slightly conservative,
300279,(1) 1. Democrat,Democrat,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,,50,60,(1) 1. Strong Democrat,(04) 4. Moderate/ middle of the road,(2) 2. Conservative
300280,(3) 3. Independent,Independent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,15,60,40,(3) 3. Independent-Democrat,(03) 3. Slightly liberal,
300282,(3) 3. Independent,Independent,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70,70,70,70,(3) 3. Independent-Democrat,(99) 99. Haven't thought much about this,(3) 3. Moderate
300284,(2) 2. Republican,Republican,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,100,0,85,(7) 7. Strong Republican,(06) 6. Conservative,
300289,(3) 3. Independent,Independent,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,60,40,100,0,(3) 3. Independent-Democrat,(02) 2. Liberal,
300297,(1) 1. Democrat,Democrat,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,60,50,70,60,(1) 1. Strong Democrat,(04) 4. Moderate/ middle of the road,(1) 1. Liberal
300299,(3) 3. Independent,Independent,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,65,35,90,30,(3) 3. Independent-Democrat,(01) 1. Extremely liberal,
300303,(2) 2. Republican,Republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,60,50,60,(6) 6. Not very strong Republican,(99) 99. Haven't thought much about this,(2) 2. Conservative
300304,(2) 2. Republican,Republican,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,40,85,50,100,(7) 7. Strong Republican,(06) 6. Conservative,
300307,(3) 3. Independent,Independent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,60,85,(5) 5. Independent-Republican,(06) 6. Conservative,
300312,(1) 1. Democrat,Democrat,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,85,0,100,50,(1) 1. Strong Democrat,(02) 2. Liberal,
300313,(2) 2. Republican,Republican,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,50,60,40,85,(7) 7. Strong Republican,(06) 6. Conservative,
300317,(1) 1. Democrat,Democrat,,,,,,,,,,,,,,,,,90,20,,,(1) 1. Strong Democrat,,
300322,(0) 0. No preference (FTF ONLY),No Party,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,(4) 4. Independent,(99) 99. Haven't thought much about this,
300325,(1) 1. Democrat,Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,70,30,85,70,(2) 2. Not very strong Democrat,(02) 2. Liberal,
300326,(1) 1. Democrat,Democrat,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,60,15,85,,(1) 1. Strong Democrat,(02) 2. Liberal,
300327,(2) 2. Republican,Republican,,,,,,,,,,,,,,,,,50,60,,,(7) 7. Strong Republican,,
300333,(3) 3. Independent,Independent,,,,,,,,,,,,,,,,,15,40,,,(4) 4. Independent,,
300334,(1) 1. Democrat,Democrat,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,85,30,50,70,(1) 1. Strong Democrat,(05) 5. Slightly conservative,
300335,(3) 3. Independent,Independent,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,85,0,50,40,(3) 3. Independent-Democrat,(03) 3. Slightly liberal,
300336,(1) 1. Democrat,Democrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,85,85,(1) 1. Strong Democrat,(99) 99. Haven't thought much about this,(1) 1. Liberal
300339,(1) 1. Democrat,Democrat,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,85,15,100,70,(1) 1. Strong Democrat,(02) 2. Liberal,
300342,(3) 3. Independent,Independent,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,60,50,50,(5) 5. Independent-Republican,(99) 99. Haven't thought much about this,
300343,(1) 1. Democrat,Democrat,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,70,15,85,40,(2) 2. Not very strong Democrat,(02) 2. Liberal,
300344,(1) 1. Democrat,Democrat,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,70,15,70,40,(1) 1. Strong Democrat,(02) 2. Liberal,
300345,(3) 3. Independent,Independent,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,30,40,40,70,(5) 5. Independent-Republican,(04) 4. Moderate/ middle of the road,(2) 2. Conservative
300352,(3) 3. Independent,Independent,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,60,60,30,60,(5) 5. Independent-Republican,(04) 4. Moderate/ middle of the road,(1) 1. Liberal
300360,(1) 1. Democrat,Democrat,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,70,15,70,40,(2) 2. Not very strong Democrat,(04) 4. Moderate/ middle of the road,(1) 1. Liberal
300361,(3) 3. Independent,Independent,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,40,40,30,7,(5) 5. Independent-Republican,(05) 5. Slightly conservative,
300363,(3) 3. Independent,Independent,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15,15,85,(5) 5. Independent-Republican,(06) 6. Conservative,
